category,url
Mousses,https://www.allrecipes.com/recipes/365/desserts/mousse/
Muffins,https://www.allrecipes.com/recipes/350/bread/quick-bread/muffins/
Mushroom Soups,https://www.allrecipes.com/recipes/22778/soups-stews-and-chili/soup/vegetable-soup/mushroom/
Mushrooms,https://www.allrecipes.com/recipes/15172/fruits-and-vegetables/mushrooms/
Nachos,https://www.allrecipes.com/recipes/1228/appetizers-and-snacks/cheese/nachos/
New Year's,https://www.allrecipes.com/recipes/193/holidays-and-events/new-year/
Noodle Casseroles,https://www.allrecipes.com/recipes/1005/main-dish/casseroles/noodles/
Oatmeal,https://www.allrecipes.com/recipes/1315/breakfast-and-brunch/cereals/oatmeal/
Oatmeal Cookies,https://www.allrecipes.com/recipes/851/desserts/cookies/oatmeal-cookies/
Omelets,https://www.allrecipes.com/recipes/1314/breakfast-and-brunch/eggs/omelets/
Overnight Oats,https://www.allrecipes.com/recipes/23121/breakfast-and-brunch/cereals/oatmeal/overnight-oats/
Pad Thai,https://www.allrecipes.com/recipes/17825/world-cuisine/asian/thai/main-dishes/pad-thai/
Paella,https://www.allrecipes.com/recipes/17849/world-cuisine/european/spanish/main-dishes/paella/
Paleo,https://www.allrecipes.com/recipes/16705/healthy-recipes/paleo-diet/
Pancakes,https://www.allrecipes.com/recipes/151/breakfast-and-brunch/pancakes/
Pancit,https://www.allrecipes.com/recipes/23018/world-cuisine/asian/filipino/main-dishes/pancit/
Panini,https://www.allrecipes.com/recipes/16387/main-dish/sandwiches/panini/
Passover,https://www.allrecipes.com/recipes/194/holidays-and-events/passover/
Pasta Carbonara,https://www.allrecipes.com/recipes/17540/main-dish/pasta/pasta-carbonara/
Pasta Primavera,https://www.allrecipes.com/recipes/17020/main-dish/pasta/pasta-primavera/
Pasta Salads,https://www.allrecipes.com/recipes/215/salad/pasta-salad/
Pasties,https://www.allrecipes.com/recipes/15328/main-dish/savory-pies/pasties/
Pastries,https://www.allrecipes.com/recipes/346/bread/pastries/
Pate,https://www.allrecipes.com/recipes/435/appetizers-and-snacks/dips-and-spreads/pate/
Pavlovas,https://www.allrecipes.com/recipes/14964/desserts/specialty-desserts/pavlova/
Peanut Butter Cookies,https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/
Pecan Pie,https://www.allrecipes.com/recipes/2411/desserts/pies/pecan-pie/
Pestos,https://www.allrecipes.com/recipes/13343/side-dish/sauces-and-condiments/sauces/pesto/
Pet Food,https://www.allrecipes.com/recipes/1951/everyday-cooking/more-meal-ideas/pet-food/
Pickles,https://www.allrecipes.com/recipes/17621/side-dish/sauces-and-condiments/canning-and-preserving/pickled/
Picnic Recipes,https://www.allrecipes.com/recipes/1570/everyday-cooking/on-the-go/picnic/
Pie Crusts,https://www.allrecipes.com/recipes/818/desserts/pies/pie-crusts/
Pierogies,https://www.allrecipes.com/recipes/22857/main-dish/dumplings/pierogies/
Pies,https://www.allrecipes.com/recipes/367/desserts/pies/
Pizza,https://www.allrecipes.com/recipes/250/main-dish/pizza/
Pizza Dough,https://www.allrecipes.com/recipes/1035/bread/pizza-dough-and-crusts/
Polenta,https://www.allrecipes.com/recipes/16769/side-dish/grains/polenta/
Popcorn,https://www.allrecipes.com/recipes/16051/appetizers-and-snacks/snacks/popcorn/
Popovers and Yorkshire Puddings,https://www.allrecipes.com/recipes/14912/bread/quick-bread/popovers-and-yorkshire-pudding/
Pork,https://www.allrecipes.com/recipes/205/meat-and-poultry/pork/
Pork Chops,https://www.allrecipes.com/recipes/674/main-dish/pork/pork-chops/
Pork Ribs,https://www.allrecipes.com/recipes/676/meat-and-poultry/pork/ribs/
Pork Shoulder,https://www.allrecipes.com/recipes/17198/meat-and-poultry/pork/shoulder/
Pork Tenderloin,https://www.allrecipes.com/recipes/1014/meat-and-poultry/pork/tenderloin/
Pot Pies,https://www.allrecipes.com/recipes/2268/main-dish/savory-pies/pot-pie/
Pot Roast,https://www.allrecipes.com/recipes/1469/main-dish/beef/pot-roast/
Potato Pancakes,https://www.allrecipes.com/recipes/1545/side-dish/potatoes/potato-pancakes/
Potato Salads,https://www.allrecipes.com/recipes/217/salad/potato-salad/
Potato Soups,https://www.allrecipes.com/recipes/1552/soups-stews-and-chili/soup/vegetable-soup/potato-soup/
Potluck Recipes,https://www.allrecipes.com/recipes/1536/everyday-cooking/on-the-go/potluck/
Pound Cakes,https://www.allrecipes.com/recipes/395/desserts/cakes/pound-cake/
Pretzels,https://www.allrecipes.com/recipes/16220/bread/yeast-bread/pretzels/
Prime Rib,https://www.allrecipes.com/recipes/1012/meat-and-poultry/beef/rib-roast/
Pulled Pork,https://www.allrecipes.com/recipes/16543/main-dish/pork/pulled-pork/
Pumpkin Breads,https://www.allrecipes.com/recipes/347/bread/quick-bread/pumpkin-bread/
Pumpkin Pie,https://www.allrecipes.com/recipes/819/desserts/pies/pumpkin-pie/
Pumpkin Seeds,https://www.allrecipes.com/recipes/969/appetizers-and-snacks/nuts-and-seeds/pumpkin-seeds/
Punch,https://www.allrecipes.com/recipes/136/drinks/punch/
Purim,https://www.allrecipes.com/recipes/1444/holidays-and-events/purim/
Quesadillas,https://www.allrecipes.com/recipes/1905/world-cuisine/latin-american/mexican/main-dishes/quesadillas/
Quiches,https://www.allrecipes.com/recipes/16793/main-dish/quiche/
Quick and Easy Recipes,https://www.allrecipes.com/recipes/1947/everyday-cooking/quick-and-easy/
Quinoa,https://www.allrecipes.com/recipes/15592/ingredients/whole-grains/quinoa/
Ramadan,https://www.allrecipes.com/recipes/195/holidays-and-events/ramadan/
Ravioli,https://www.allrecipes.com/recipes/16855/pasta-and-noodles/pasta-by-shape/ravioli/
Raw Food Diet,https://www.allrecipes.com/recipes/16337/healthy-recipes/raw-food-diet/
Refried Beans,https://www.allrecipes.com/recipes/17873/side-dish/beans-and-peas/refried-beans/
Relishes,https://www.allrecipes.com/recipes/13378/side-dish/sauces-and-condiments/relishes/
Rhubarb Pie,https://www.allrecipes.com/recipes/12953/desserts/pies/fruit-pies/rhubarb-pie/
Ribs,https://www.allrecipes.com/recipes/261/main-dish/ribs/
Rice Casseroles,https://www.allrecipes.com/recipes/1004/main-dish/casseroles/rice/
Rice Pilaf,https://www.allrecipes.com/recipes/14364/side-dish/rice/pilaf/
Rice Puddings,https://www.allrecipes.com/recipes/14442/desserts/custards-and-puddings/rice-pudding/
Risotto,https://www.allrecipes.com/recipes/14362/main-dish/rice/risotto/
Road Trip Snacks,https://www.allrecipes.com/recipes/1991/everyday-cooking/on-the-go/road-trip-snacks/
Roasts,https://www.allrecipes.com/recipes/258/main-dish/roasts/
Rosh Hashanah,https://www.allrecipes.com/recipes/196/holidays-and-events/rosh-hashanah/
Salad Dressings,https://www.allrecipes.com/recipes/210/side-dish/sauces-and-condiments/salad-dressings/
Salads,https://www.allrecipes.com/recipes/96/salad/
Salisbury Steak,https://www.allrecipes.com/recipes/17656/main-dish/beef/salisbury-steak/
Salmon,https://www.allrecipes.com/recipes/416/seafood/fish/salmon/
Salsas,https://www.allrecipes.com/recipes/436/appetizers-and-snacks/dips-and-spreads/salsa/
Samosas,https://www.allrecipes.com/recipes/17776/appetizers-and-snacks/pastries/samosas/
Sandwich Cookies,https://www.allrecipes.com/recipes/16416/desserts/cookies/sandwich-cookies/
Sandwiches,https://www.allrecipes.com/recipes/251/main-dish/sandwiches/
Sangrias,https://www.allrecipes.com/recipes/242/drinks/sangria/
Sausage,https://www.allrecipes.com/recipes/16546/meat-and-poultry/sausage/
Scones,https://www.allrecipes.com/recipes/1997/bread/quick-bread/scones/
Seder,https://www.allrecipes.com/recipes/985/holidays-and-events/passover/seder/
Seitan,https://www.allrecipes.com/recipes/17624/everyday-cooking/vegetarian/protein/seitan/
Shepherd's Pie,https://www.allrecipes.com/recipes/2270/main-dish/savory-pies/shepherds-pie/
Shortbread,https://www.allrecipes.com/recipes/855/desserts/cookies/butter-cookies/shortbread-cookies/
Shortcakes,https://www.allrecipes.com/recipes/15066/desserts/cakes/shortcake/
Shrimp and Grits,https://www.allrecipes.com/recipes/16685/main-dish/seafood/shrimp/shrimp-and-grits/
Shrimp Scampi,https://www.allrecipes.com/recipes/15853/main-dish/seafood/shrimp/shrimp-scampi/
Side Dishes,https://www.allrecipes.com/recipes/81/side-dish/
Slab Pie,https://www.allrecipes.com/recipes/17640/desserts/pies/slab-pie/
Sliders,https://www.allrecipes.com/recipes/17308/everyday-cooking/more-meal-ideas/mini-foods/main-dishes/sliders/
Sloppy Joes,https://www.allrecipes.com/recipes/14930/main-dish/sandwiches/sloppy-joes/
Slow Cooker Recipes,https://www.allrecipes.com/recipes/253/everyday-cooking/slow-cooker/
Smoothies,https://www.allrecipes.com/recipes/138/drinks/smoothies/
Snickerdoodles,https://www.allrecipes.com/recipes/16420/desserts/cookies/snickerdoodles/
Soups,https://www.allrecipes.com/recipes/16369/soups-stews-and-chili/soup/
Sous Vide Recipes,https://www.allrecipes.com/recipes/23455/everyday-cooking/cookware-and-equipment/sous-vide/
Spaghetti,https://www.allrecipes.com/recipes/505/main-dish/pasta/spaghetti/
Spanish Rice,https://www.allrecipes.com/recipes/17482/side-dish/rice/spanish-rice/
Spice Cakes,https://www.allrecipes.com/recipes/396/desserts/cakes/spice-cake/
Spinach Dips,https://www.allrecipes.com/recipes/1242/appetizers-and-snacks/dips-and-spreads/spinach-dips/
Split Pea Soups,https://www.allrecipes.com/recipes/14728/soups-stews-and-chili/soup/beans-and-peas/split-pea-soup/
Spritz Cookies,https://www.allrecipes.com/recipes/858/desserts/cookies/butter-cookies/spritz-cookies/
St. Patrick's Day,https://www.allrecipes.com/recipes/197/holidays-and-events/st-patricks-day/
Stews,https://www.allrecipes.com/recipes/183/soups-stews-and-chili/stews/
Stir-Fries,https://www.allrecipes.com/recipes/259/main-dish/stir-fry/
Strawberry Pie,https://www.allrecipes.com/recipes/12954/desserts/pies/fruit-pies/strawberry-pie/
Strawberry Shortcakes,https://www.allrecipes.com/recipes/16357/desserts/cakes/shortcake/strawberry-shortcake/
Stuffed Mushrooms,https://www.allrecipes.com/recipes/14906/appetizers-and-snacks/vegetable/mushrooms/stuffed-mushrooms/
Stuffed Peppers,https://www.allrecipes.com/recipes/13289/main-dish/stuffed-main-dishes/stuffed-bell-peppers/
Sugar Cookies,https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/
Sugar-Free Recipes,https://www.allrecipes.com/recipes/931/healthy-recipes/sugar-free/
Sushi,https://www.allrecipes.com/recipes/17498/world-cuisine/asian/japanese/main-dishes/sushi/
Sweet Potato Pie,https://www.allrecipes.com/recipes/822/desserts/pies/sweet-potato-pie/
Swiss Steak,https://www.allrecipes.com/recipes/17320/main-dish/beef/swiss-steak/
Taco Salads,https://www.allrecipes.com/recipes/17534/salad/taco-salad/
Tacos,https://www.allrecipes.com/recipes/17874/main-dish/tacos/
Tailgating,https://www.allrecipes.com/recipes/1569/everyday-cooking/on-the-go/tailgating/
Tamales,https://www.allrecipes.com/recipes/16080/world-cuisine/latin-american/mexican/main-dishes/tamales/
Tapas,https://www.allrecipes.com/recipes/17807/appetizers-and-snacks/tapas/
Tater Tot Casseroles,https://www.allrecipes.com/recipes/17661/main-dish/casseroles/vegetable/tater-tots/
Tempeh,https://www.allrecipes.com/recipes/16777/everyday-cooking/vegetarian/protein/tempeh/
Tetrazzini,https://www.allrecipes.com/recipes/16815/main-dish/pasta/tetrazzini/
Tex-Mex,https://www.allrecipes.com/recipes/17502/us-recipes/tex-mex/
Thanksgiving,https://www.allrecipes.com/recipes/198/holidays-and-events/thanksgiving/
Thumbprint Cookies,https://www.allrecipes.com/recipes/14691/desserts/cookies/thumbprint-cookies/
Tiramisu,https://www.allrecipes.com/recipes/375/desserts/specialty-desserts/tiramisu/
Toffee,https://www.allrecipes.com/recipes/401/desserts/candy/toffee/
Tofu,https://www.allrecipes.com/recipes/270/everyday-cooking/vegetarian/protein/tofu/
Tomato Salads,https://www.allrecipes.com/recipes/15102/salad/vegetable-salads/tomato-salad/
Tortellini,https://www.allrecipes.com/recipes/515/pasta-and-noodles/pasta-by-shape/tortellini/
Tortes,https://www.allrecipes.com/recipes/398/desserts/cakes/tortes/
Tortillas,https://www.allrecipes.com/recipes/15855/bread/quick-bread/tortillas/
Tostadas,https://www.allrecipes.com/recipes/23012/world-cuisine/latin-american/mexican/main-dishes/tostadas/
Truffles,https://www.allrecipes.com/recipes/751/desserts/candy/truffles/
Tuna Casseroles,https://www.allrecipes.com/recipes/15020/main-dish/casseroles/seafood/tuna/
Tuna Salads,https://www.allrecipes.com/recipes/2809/salad/seafood-salad/tuna-salad/
Turkey,https://www.allrecipes.com/recipes/206/meat-and-poultry/turkey/
Turkey Brines,https://www.allrecipes.com/recipes/15901/meat-and-poultry/turkey/brine/
TVP Recipes,https://www.allrecipes.com/recipes/17251/everyday-cooking/vegetarian/protein/tvp/
Upside-Down Cakes,https://www.allrecipes.com/recipes/11980/desserts/cakes/upside-down-cake/
Valentine's Day,https://www.allrecipes.com/recipes/199/holidays-and-events/valentines-day/
Vegan,https://www.allrecipes.com/recipes/1227/everyday-cooking/vegan/
Vegetable Side Dishes,https://www.allrecipes.com/recipes/225/side-dish/vegetables/
Vegetables A to Z,https://www.allrecipes.com/recipes/1059/fruits-and-vegetables/vegetables/
Vegetarian,https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/
Waffles,https://www.allrecipes.com/recipes/1316/breakfast-and-brunch/waffles/
Waldorf Salads,https://www.allrecipes.com/recipes/16932/salad/waldorf-salad/
Whole Wheat Breads,https://www.allrecipes.com/recipes/15509/bread/yeast-bread/whole-grain-bread/wheat-bread/
Whole30,https://www.allrecipes.com/recipes/22590/healthy-recipes/whole30/
Whoopie Pies,https://www.allrecipes.com/recipes/16417/desserts/cookies/whoopie-pies/
Winter Squash,https://www.allrecipes.com/recipes/1097/fruits-and-vegetables/vegetables/squash/winter-squash/
Yams,https://www.allrecipes.com/recipes/2452/fruits-and-vegetables/vegetables/yams/
Yeast Breads,https://www.allrecipes.com/recipes/339/bread/yeast-bread/
Ziti,https://www.allrecipes.com/recipes/550/pasta-and-noodles/pasta-by-shape/ziti/
Zucchini Breads,https://www.allrecipes.com/recipes/348/bread/quick-bread/zucchini-bread/
